Normalized.Title,Normalized.Creator,Work.In.Norton,Checkouts
Slapstick,Kurt Vonnegut,False,635
Voices,Ursula K. Le Guin,False,634
Fences,August Wilson,True,634
Deadeye Dick,Kurt Vonnegut,False,634
The Journals Of Sylvia Plath,Sylvia Plath,False,632
Playing In The Dark,Toni Morrison,False,627
The Collected Stories,Grace Paley,False,625
The Turquoise Ledge,Leslie Marmon Silko,False,621
Powers,Ursula K. Le Guin,False,619
The Humbling,Philip Roth,False,610
Poems 1962-2012,Louise Glück,False,608
The Red Convertible,Louise Erdrich,False,605
Zami,Audre Lorde,False,600
Just Above My Head,James Baldwin,False,600
In The Lake Of The Woods,Tim O'Brien,False,596
Lone Ranger And Tonto Fistfight In Heaven,Sherman Alexie,False,593
Bagombo Snuff Box,Kurt Vonnegut,False,588
Catwings Return,Ursula K. Le Guin,False,587
Going After Cacciato,Tim O'Brien,False,586
The Last Thing He Wanted,Joan Didion,False,580
The Ghost Writer,Philip Roth,False,580
The Collected Poems,Sylvia Plath,False,574
The Widows Of Eastwick,John Updike,False,574
This Present Moment,Gary Snyder,False,571
The Witches Of Eastwick,John Updike,False,567
Earthsea,Ursula K. Le Guin,False,562
A House Of My Own,Sandra Cisneros,False,561
A Childs Calendar,John Updike,False,556
Woman Hollering Creek,Sandra Cisneros,True,556
Galactic Pot,Philip K. Dick,False,552
The Violent Bear It Away,Flannery O' Connor,False,552
Krik,Edwidge Danticat,False,552
City Of Illusions,Ursula K. Le Guin,False,549
For Better And For Worse,Sherman Alexie,False,548
In The Shadow Of No Towers,Art Spiegelman,False,547
Holy The Firm,Annie Dillard,False,547
Rabbit At Rest,John Updike,False,546
Fox 8,George Saunders,False,546
Seize The Day,Saul Bellow,False,545
A Book Of Common Prayer,Joan Didion,False,541
The Glass Menagerie,Tennessee Williams,False,540
Juneteenth,Ralph Ellison,False,534
Screwjack,Hunter S. Thompson,False,530
Jailbird,Kurt Vonnegut,False,530
Wade In The Water,Tracy K. Smith,False,528
Almanac Of The Dead,Leslie Marmon Silko,False,525
The Etiquette Of Freedom,Gary Snyder,False,525
Wonderful Alexander And The Catwings,Ursula K. Le Guin,False,525
A Wedding In Haiti,Julia Alvarez,False,521
The Tortoise Or The Hare,Toni Morrison,False,520
Mary Ventura And The Ninth Kingdom,Sylvia Plath,False,519
Lucy,Jamaica Kincaid,False,515
The Very Persistent Gappers Of Frip,George Saunders,False,513
The Devil Finds Work,James Baldwin,False,511
Four Ways To Forgiveness,Ursula K. Le Guin,False,506
American Classics,Amy Tan,False,504
The Angel Esmeralda,Don Delillo,False,502
Fear And Loathing In America,Hunter S. Thompson,False,501
The Kurt Vonnegut Junior Audio Collection,Kurt Vonnegut,False,501
Mao Ii,Don Delillo,False,496
The Telling,Ursula K. Le Guin,False,496
Ballistics,Billy Collins,False,495
Shades In Shadow,N. K. Jemisin,False,493
Evidence,Mary Oliver,False,491
The Antelope Wife,Louise Erdrich,False,487
Run River,Joan Didion,False,482
The Stories Of John Cheever,John Cheever,False,481
America Fantastica,Tim O'Brien,False,478
The Selected Stories Of Philip K,Philip K. Dick,False,474
The Collected Poems Of Audre Lorde,Audre Lorde,False,472
The Crack In Space,Philip K. Dick,False,470
Worlds Of Exile And Illusion,Ursula K. Le Guin,False,470
Paycheck,Philip K. Dick,False,470
The Body Artist,Don Delillo,False,468
Lonesome Traveler,Jack Kerouac,False,466
Point Omega,Don Delillo,False,463
Lost In The City,Edward P. Jones,False,461
Horoscopes For The Dead,Billy Collins,False,460
I Married A Communist,Philip Roth,False,457
Remember,Toni Morrison,False,450
The Rain In Portugal,Billy Collins,False,447
The Clothing Of Books,Jhumpa Lahiri,False,445
The Brief And Frightening Reign Of Phil,George Saunders,False,444
Antelope Woman,Louise Erdrich,False,444
The Centaur,John Updike,False,443
My Fathers Tears,John Updike,False,442
Couples,John Updike,False,441
The Sea Is My Brother,Jack Kerouac,False,441
How Aunt Lola Saved The Summer,Julia Alvarez,False,440
Rabbit Angstrom,John Updike,False,440
Nine Horses,Billy Collins,False,439
Fate Time And Language,David Foster Wallace,False,439
Mamas Nightingale,Edwidge Danticat,False,437
Spent,Alison Bechdel,False,433
Why We Cant Wait,Martin Luther King Jr.,False,431
Man Without A Country,Kurt Vonnegut,False,429
No Name In The Street,James Baldwin,False,428
At Blackwater Pond,Mary Oliver,False,426
Little Cloud And Lady Wind,Toni Morrison,False,426
Philip K,Philip K. Dick,False,425
There Is A Flower At The Tip Of My Nose Smelling Me,Alice Walker,False,425
Long Life,Mary Oliver,False,424
The Boy Who Didnt Believe In Spring,Lucille Clifton,False,424
The Farming Of Bones,Edwidge Danticat,False,423
Collected Works,Flannery O' Connor,False,421
Makoons,Louise Erdrich,False,421
Translating Myself,Jhumpa Lahiri,False,419
Whereas,Layli Long Soldier,False,414
In Love And Trouble,Alice Walker,False,414
How Aunt Lola Learned To Teach,Julia Alvarez,False,413
The Secret Footprints,Julia Alvarez,False,412
On Tennis,David Foster Wallace,False,409
Tracks,Louise Erdrich,False,407
The Penultimate Truth,Philip K. Dick,False,405
Wild And Precious,Mary Oliver,False,402
Why War Is Never A Good Idea,Alice Walker,False,402
Ariel,Sylvia Plath,True,402
Dream Work,Mary Oliver,False,399
Fifty Famous Stories Retold,James Baldwin,False,397
Cosmopolis,Don Delillo,False,393
Time Out Of Joint,Philip K. Dick,False,393
Cat On A Hot Tin Roof,Tennessee Williams,False,392
The Way Forward Is With A Broken Heart,Alice Walker,False,392
Face,Sherman Alexie,False,392
Humboldts Gift,Saul Bellow,False,390
The Colossus,Sylvia Plath,False,389
You Cant Keep A Good Woman Down,Alice Walker,False,388
Twelve Moons,Mary Oliver,False,387
The Daughter Of Odren,Ursula K. Le Guin,False,385
Fear And Loathing On The Campaign Trail 72,Hunter S. Thompson,False,385
The Origin Of Others,Toni Morrison,False,384
Rabbit Is Rich,John Updike,False,384
Swan,Mary Oliver,False,384
Political Fictions,Joan Didion,False,382
The Subterraneans,Jack Kerouac,False,382
All Of Us,Raymond Carver,False,381
We Are What We Pretend To Be,Kurt Vonnegut,False,380
Planet Of Exile,Ursula K. Le Guin,False,377
The Books Of Earthsea,Ursula K. Le Guin,False,375
Nothing Ever Dies,Viet Thanh Nguyen,False,373
The Selected Works Of Audre Lorde,Audre Lorde,False,371
The Cancer Journals,Audre Lorde,False,369
Remember,Joy Harjo,False,367
Among Flowers,Jamaica Kincaid,False,365
Rabbit Redux,John Updike,False,364
The Disappearing Alphabet,Richard Wilbur,False,364
Henderson The Rain King,Saul Bellow,False,364
The Early Work Of Philip K,Philip K. Dick,False,362
Clans Of The Alphane Moon,Philip K. Dick,False,362
The Piano Lesson,August Wilson,False,361
Once Upon A Quinceanera,Julia Alvarez,False,360
The Maples Stories,John Updike,False,358
Collected Stories,Raymond Carver,False,357
Winter Recipes From The Collective,Louise Glück,False,352
In Milton Lumky Territory,Philip K. Dick,False,352
Democracy,Joan Didion,False,351
Owls,Mary Oliver,False,351
What Do We Know,Mary Oliver,False,350
Blue Iris,Mary Oliver,False,350
Anacaona Golden Flower,Edwidge Danticat,False,350
Villages,John Updike,False,350
The Early Stories,John Updike,False,348
Meridian,Alice Walker,False,345
I Am Not Your Negro,James Baldwin,False,345
The Autobiography Of My Mother,Jamaica Kincaid,False,344
The Lone Ranger And Tonto Fistfight In Heaven,Sherman Alexie,False,344
The Shadow Of Sirius,W.S. Merwin,False,344
By The Light Of My Fathers Smile,Alice Walker,False,343
The Leaf And The Cloud,Mary Oliver,False,338
The Gingerbread Rabbit,Randall Jarrell,False,338
Radio Free Albemuth,Philip K. Dick,False,338
The Wild Iris,Louise Glück,False,334
The Beet Queen,Louise Erdrich,False,330
Nothing Personal,James Baldwin,False,329
A Maze Of Death,Philip K. Dick,False,328
The Chinese Siamese Cat,Amy Tan,False,328
See Now Then,Jamaica Kincaid,False,326
Lies Inc,Philip K. Dick,False,326
Taking The Arrow Out Of The Heart,Alice Walker,False,323
Americana,Don Delillo,False,322
At The Bottom Of The River,Jamaica Kincaid,False,321
A Prayer Journal,Flannery O' Connor,False,320
Earth Keeper,N. Scott Momaday,False,319
The Temple Of My Familiar,Alice Walker,False,316
Breakdowns,Art Spiegelman,False,316
Mister Potter,Jamaica Kincaid,False,312
Kurt Vonnegut,Kurt Vonnegut,False,312
Tom Mouse,Ursula K. Le Guin,False,312
String Theory,David Foster Wallace,False,311
Rules For The Dance,Mary Oliver,False,311
The Eye Of The Heron,Ursula K. Le Guin,False,311
So Far So Good,Ursula K. Le Guin,False,307
Collected Essays,James Baldwin,False,307
Meditations In An Emergency,Frank O'Hara,False,306
Tales Of Burning Love,Louise Erdrich,False,305
Possessing The Secret Of Joy,Alice Walker,False,305
Fear And Loathing At Rolling Stone,Hunter S. Thompson,False,304
What Ive Stolen What Ive Earned,Sherman Alexie,False,304
A View From The Bridge,Arthur Miller,False,304
Yo,Julia Alvarez,True,304
Hard Times Require Furious Dancing,Alice Walker,False,304
Borderlands,Gloria Anzaldúa,False,301
Martian Time,Philip K. Dick,False,301
In The Time of the Butterflies,Julia Alvarez,False,300
"July, July",Tim O'Brien,False,298
Satori In Paris,Jack Kerouac,False,297
The Autobiography Of Martin Luther King Junior,Martin Luther King Jr.,False,296
Upon The Dull Earth,Philip K. Dick,False,295
Diving Into The Wreck,Adrienne Rich,True,294
If This Isnt Nice What Is,Kurt Vonnegut,False,294
Visions Of Cody,Jack Kerouac,False,293
Counter,Philip K. Dick,False,292
Essential Vonnegut Interviews,Kurt Vonnegut,False,292
Poems,Elizabeth Bishop,False,291
A Grace Paley Reader,Grace Paley,False,291
Collected Stories,John Cheever,False,290
The Prague Orgy,Philip Roth,False,290
Eight Days,Edwidge Danticat,False,289
Dancing At The Edge Of The World,Ursula K. Le Guin,False,289
The Business Of Fancydancing,Sherman Alexie,False,288
Early Novels And Stories,James Baldwin,False,288
Mumbo Jumbo,Ishmael Reed,False,288
The Golden Apples,Eudora Welty,False,286
My Mommy Medicine,Edwidge Danticat,False,286
Woman Without Shame,Sandra Cisneros,False,285
The Best American Short Stories 2016,Junot Díaz,False,285
David Foster Wallace,David Foster Wallace,False,284
Maggie Cassidy,Jack Kerouac,False,284
The Collected Poems Of Lucille Clifton 1965,Lucille Clifton,False,280
One Stick Song,Sherman Alexie,False,279
One Writers Beginnings,Eudora Welty,False,279
Short Cuts,Raymond Carver,False,278
The Proud Highway,Hunter S. Thompson,False,278
How We Became Human,Joy Harjo,False,277
Have You Seen Marie,Sandra Cisneros,False,277
How Aunt Lola Ended Up Starting Over,Julia Alvarez,False,276
Salvador,Joan Didion,False,275
Novels And Stories 1963,Kurt Vonnegut,False,273
Dad'S Maybe Book,Tim O'Brien,False,271
The Exegesis Of Philip K,Philip K. Dick,False,271
A Gift Of Gracias,Julia Alvarez,False,271
Lola,Junot Díaz,False,269
Please Louise,Toni Morrison,False,268
Essential Welty,Eudora Welty,False,268
The Truro Bear,Mary Oliver,False,266
The Art Of Death,Edwidge Danticat,False,266
We Are The Ones We Have Been Waiting For,Alice Walker,False,265
Marigold And Rose,Louise Glück,False,264
Mystery And Manners,Flannery O' Connor,False,264
The Divine Invasion,Philip K. Dick,False,263
The Wild Girls,Ursula K. Le Guin,False,261
The Cross Of Redemption,James Baldwin,False,261
The Natural,Bernard Malamud,False,261
The Names,Don Delillo,False,261
Enormous Changes At The Last Minute,Grace Paley,False,260
Hainish Novels & Stories. Volume One,Ursula K. Le Guin,False,260
Aunt Lola Stories,Julia Alvarez,False,259
There Is Simply Too Much To Think About,Saul Bellow,False,259
The Black Unicorn,Audre Lorde,False,258
Fear And Loathing,Hunter S. Thompson,False,258
Averno,Louise Glück,False,258
The Defenders,Philip K. Dick,False,256
All My Sons,Arthur Miller,False,255
The Ponder Heart,Eudora Welty,False,253
Untwine,Edwidge Danticat,False,253
Danger On Peaks,Gary Snyder,False,253
The Counterlife,Philip Roth,False,252
Loose Woman,Sandra Cisneros,False,252
Vintage Didion,Joan Didion,False,251
Whale Day,Billy Collins,False,249
Essential Essays,Adrienne Rich,False,248
